Invoice #,Medicine,Manufacturer,salePerUnit,Total Items,Category,buyPerPack,salePerPack,unitsPerPack
1,Pill Cutter,AMROS,300,0,Medicine,200,300,0
2,Whito Rose Cream,AMROS,250,0,Medicine,120,250,0
3,Evotex 5mg Tab,ROTEXMEDICA,5.5,0,Medicine,46.75,55,0
4,Fulphen 25mg Inj,ROTEXMEDICA,90,0,Medicine,765,900,0
5,Gastrolux 20mg Cap,ROTEXMEDICA,8.5,0,Medicine,101.15,119,0
6,Gastrolux 40mg Cap,ROTEXMEDICA,14.14,0,Medicine,168.3,198,0
7,Megatron Plus Tab,ROTEXMEDICA,8.2,0,Medicine,69.7,82,0
8,Megatron Tab,ROTEXMEDICA,8.5,0,Medicine,144.5,170,0
9,Monoflox 320mg Tab,ROTEXMEDICA,85.71,0,Medicine,510,600,0
10,Rotamox 400mg Tab,ROTEXMEDICA,75,0,Medicine,318.75,375,0
11,Scanlux 250mg Tab,ROTEXMEDICA,13,0,Medicine,110.5,130,0
12,Scanlux 500mg Tab,ROTEXMEDICA,21.5,0,Medicine,182.75,215,0
13,Timezol 20mg Cap,ROTEXMEDICA,10.29,0,Medicine,122.4,144,0
14,Timezol 40mg Cap,ROTEXMEDICA,17.86,0,Medicine,212.5,250,0
15,Volden Fort 50 Tab,ROTEXMEDICA,3,0,Medicine,51,60,0
16,Volden Fort K 75 Tab,ROTEXMEDICA,4.5,0,Medicine,76.5,90,0
17,Volden Fort Sr 100mg,ROTEXMEDICA,6.67,0,Medicine,170,200,0
18,Zengac 500mg Inj,ROTEXMEDICA,811.5,0,Medicine,689.78,811.5,0
19,Ah Couch 450ml,OTHER / MISC,150,0,Medicine,52,150,0
20,Betasol C Ont,OTHER / MISC,610,0,Medicine,518.47,610,0
21,Betasol G Cream,OTHER / MISC,100,0,Medicine,85.01,100,0
22,Betasol N Cream,OTHER / MISC,55.3,0,Medicine,47.01,55.3,0
23,Fucyn B Cream,OTHER / MISC,292.42,0,Medicine,248.86,292.42,0
24,Fucyn Cream 2%,OTHER / MISC,250.03,0,Medicine,212.53,250.03,0
25,Fucyn H Cream,OTHER / MISC,341.57,0,Medicine,290.34,341.57,0
26,Hazotec Sachets,OTHER / MISC,65,0,Medicine,552,650,0
27,Hintos Cough Syp,OTHER / MISC,190,0,Medicine,81,190,0
28,Medroxin Cream,OTHER / MISC,230.96,0,Medicine,196.32,230.96,0
29,Methrix Lotion,OTHER / MISC,143.12,0,Medicine,121.66,143.12,0
30,Micogel Oral Gel,OTHER / MISC,127.6,0,Medicine,108.46,127.6,0
31,Minoxol Lotion,OTHER / MISC,675,0,Medicine,573.77,675,0
32,Monozole H Cream,OTHER / MISC,96.37,0,Medicine,81.92,96.37,0
33,Prelac-1,OTHER / MISC,780,0,Medicine,736,780,0
34,Protica Cream,OTHER / MISC,175.64,0,Medicine,149.04,175.64,0
35,Protica Lotion,OTHER / MISC,303,0,Medicine,257.6,303,0
36,Rivaj Sunblock 100ml,OTHER / MISC,600,0,Genral Store,470,600,0
37,Silverex Cream,OTHER / MISC,183.81,0,Medicine,156.24,183.81,0
38,Tegsol 125mg Tab,OTHER / MISC,47.43,0,Medicine,403.16,474.3,0
39,Tegsol 250mg Tab,OTHER / MISC,75.74,0,Medicine,644.01,757.4,0
40,Tegsol Cream,OTHER / MISC,249.98,0,Medicine,212.49,249.98,0
41,Tegsol Lotion,OTHER / MISC,391.64,0,Medicine,332.89,391.64,0
42,Tenim 100mg Tab,OTHER / MISC,6,0,Medicine,65,120,0
43,Tibet Powder,OTHER / MISC,190,0,Medicine,175,190,0
44,Transamine Inj Local,OTHER / MISC,60,0,Medicine,40,60,0
45,Walvita  Plus Sachet,OTHER / MISC,750,0,Medicine,637.5,750,0
46,Algac 10mg Tab,OTHER / MISC,6,0,Medicine,51,60,0
47,Aligant 500mg Tab,OTHER / MISC,28.5,0,Medicine,50,285,0
48,Aligant Tab 250mg,OTHER / MISC,18.5,0,Medicine,40,185,0
49,Allergid 10mg Tab,OTHER / MISC,3,0,Medicine,9,30,0
50,Ancip Tab 250mg,OTHER / MISC,13,0,Medicine,110.5,130,0
51,Ancip Tab 500mg,OTHER / MISC,21.5,0,Medicine,182.75,215,0
52,Animation 10% 20g Spray,OTHER / MISC,400,0,Medicine,200,400,0
53,Dooz Gel,OTHER / MISC,400,0,Medicine,180,400,0
54,Hi Salz T/p 100g,OTHER / MISC,196.07,0,Medicine,173.06,196.07,0
55,Lorip 10mg,OTHER / MISC,7.2,0,Medicine,9,72,0
